Date,Positive,Negative,Neutral,NEO,NVolume,BTC,BVolume,ETH,EVolume
2021-05-12,9,7,5,93.038773,1608898991,49150.535156,75215403907,3785.848633,69023382175
2021-05-11,14,3,2,115.442688,1876036194,56704.574219,61308396325,4168.701172,52679737865
2021-05-10,34,14,6,104.961182,1753449419,55859.796875,71776546298,3952.293945,62691789007
2021-05-09,14,7,6,119.311058,1895338677,58232.316406,65906690347,3928.844727,50568290278
2021-05-08,8,9,4,116.453072,1925727780,58803.777344,65382980634,3902.647705,50208491286
2021-05-07,41,22,11,118.564186,4329462074,57356.402344,68434023376,3484.729004,39607240515
2021-05-06,38,26,11,122.683403,3635237001,56396.515625,69523285106,3490.880371,44300394788
2021-05-05,21,16,4,115.39727,2275901051,57424.007813,69241316747,3522.783203,48334198383
2021-05-04,12,3,1,96.698502,1799534446,53333.539063,68564706967,3253.629395,62402045158
2021-05-03,22,13,4,107.084518,1569219705,57200.292969,51713139031,3431.086182,49174290212
2021-05-02,44,20,8,106.497284,1799882809,56631.078125,38177405335,2952.056152,28032013047
2021-05-01,6,10,2,102.26281,1262257709,57828.050781,42836427360,2945.892822,28726205272
2021-04-30,10,5,3,97.05835,1282256793,57750.175781,52395931985,2773.207031,29777179889
2021-04-29,1,0,1,89.530434,974934736,53555.109375,46088929780,2756.876953,32578127990
2021-04-28,12,0,5,91.671432,1253277647,54824.703125,48000572955,2746.380127,34269031076
2021-04-27,11,2,3,94.127647,1381724943,55033.117188,49448222757,2662.865234,32275969215
2021-04-26,14,3,4,90.070511,1560122358,54021.753906,58284039825,2534.481689,35208325408
2021-04-25,4,4,1,79.391243,1912662269,49004.253906,46117114240,2316.05957,31814355546
2021-04-24,7,3,1,79.290848,1703095279,50050.867188,49014494781,2211.625732,31854226936
2021-04-23,10,6,2,85.900223,2920194502,51093.652344,86668667320,2363.586182,55413933925
2021-04-22,10,5,1,90.393127,2574376074,51762.273438,74798630778,2403.535156,53575904724
2021-04-21,13,7,8,97.167671,2095133284,53906.089844,54926612466,2364.751709,38899067643
2021-04-20,20,11,12,107.786842,4730215089,56473.03125,67849323955,2330.210938,39433483315
2021-04-19,114,62,22,109.312943,7084389598,55724.265625,65344865159,2166.188721,34060654971
2021-04-18,35,23,7,118.058746,5525314096,56216.183594,97468872758,2237.136963,50696368718
2021-04-17,69,40,12,94.363739,3536782804,60683.820313,66138759198,2344.89502,32349808978
2021-04-16,56,46,15,87.340736,2918450447,61572.789063,84293007468,2431.946533,36196928256
2021-04-15,8,4,1,75.000603,1083401740,63314.011719,60954381579,2519.116211,32325606817
2021-04-14,12,4,4,68.991051,1297291821,63109.695313,77451779687,2435.10498,35592822986
2021-04-13,14,9,0,66.535805,1026967257,63503.457031,69983454362,2299.187744,29456642939
2021-04-12,3,2,3,64.708427,909636725,59893.453125,51828688519,2139.353271,21727936609
2021-04-11,22,10,3,64.114166,1094414579,60204.964844,46280252580,2157.656982,19692836132
2021-04-10,5,4,1,61.671589,797140734,59793.234375,58238470525,2135.942139,24986243611
2021-04-09,9,2,5,60.864895,757962039,58245.003906,46655208546,2072.108887,19812472092
2021-04-08,4,7,2,63.043167,1085619455,58323.953125,53053855641,2088.57373,25312956529
2021-04-07,27,10,7,59.806152,2265282906,56048.9375,75645303584,1971.077271,36116271935
2021-04-06,55,24,15,63.167965,1992273501,58192.359375,66058027988,2118.378906,29222865881
2021-04-05,34,15,7,59.033012,1207155685,59057.878906,60706272115,2107.887207,28889391170
2021-04-04,10,4,2,54.735817,835507271,58758.554688,50749662970,2093.122803,26006501902
2021-04-03,26,18,3,51.256115,1148757420,57603.890625,59641344484,2028.422485,32011518871
2021-04-02,15,15,9,53.351421,954542096,59384.3125,58727860620,2143.225586,34862511022
2021-04-01,64,25,16,52.972775,1428270674,59095.808594,61669163792,1977.276855,30914259795
2021-03-31,43,22,7,50.813656,1531434094,58918.832031,65520826225,1918.362061,30226902621
2021-03-30,17,7,4,45.020313,591278786,58917.691406,54414116432,1846.033691,22512781703
2021-03-29,36,9,6,45.588753,747289005,57750.199219,57625587027,1819.684937,22796570548
2021-03-28,29,22,11,44.840294,1065606459,55950.746094,47686580918,1691.355957,16599472938
2021-03-27,12,4,2,41.235569,615431028,55973.511719,47266542233,1716.494629,18102277710
2021-03-26,23,6,4,41.737682,612775077,55137.3125,56652197978,1702.842041,22548516548
2021-03-25,18,9,4,38.928783,732209968,51704.160156,67999812841,1595.359253,29650328701
2021-03-24,31,16,4,39.93013,1026323869,52774.265625,70567223787,1593.413452,31228051473
2021-03-23,15,3,2,41.260185,764815960,54738.945313,56435023914,1678.650146,21998237965
2021-03-22,7,9,1,40.972145,765224635,54529.144531,56521454974,1691.333984,23599296129
2021-03-21,5,2,1,42.536877,628815378,57523.421875,51943414539,1788.217041,22977404620
2021-03-20,13,4,2,43.141697,624969772,58313.644531,50361731222,1812.634644,22677674970
2021-03-19,17,4,1,44.232372,685265259,58346.652344,49063873786,1817.624146,21249297710
2021-03-18,30,15,2,43.746754,992444669,57858.921875,55746041000,1782.855103,23263845504
2021-03-17,37,34,9,46.052109,1441145222,58870.894531,60258313191,1823.449341,24512917348
2021-03-16,15,7,5,40.885284,717751978,56804.902344,59749798599,1806.971802,23828509590
2021-03-15,17,3,3,38.777092,775300526,55907.199219,66419369890,1791.702271,26244738810
2021-03-14,14,10,4,39.811878,684113857,59302.316406,43901225564,1854.564331,19344589211
2021-03-13,14,7,2,42.00095,778001153,61243.085938,60669829814,1924.685425,25014689475
2021-03-12,12,5,0,39.88789,728134064,57332.089844,55689944702,1772.102417,22435821312
2021-03-11,14,5,6,41.777668,762752864,57805.121094,56772343595,1826.194946,24013132909
2021-03-10,12,7,0,40.907307,837725649,56008.550781,57295577614,1799.16626,25154173185
2021-03-09,15,12,5,42.651585,834124790,54824.117188,50912227385,1868.048828,23461244507
2021-03-08,12,7,5,40.022926,633208025,52246.523438,48597428048,1834.727905,27630991158
2021-03-07,14,4,2,39.274742,542345515,51206.691406,43137459378,1723.153809,23809935410
2021-03-06,9,6,1,38.061592,561377627,48912.382813,34363564661,1654.741577,22746262366
2021-03-05,8,8,2,37.536369,721060001,48927.304688,48625928883,1533.275024,21067146937
2021-03-04,8,3,5,37.96492,795239774,48561.167969,52343816680,1541.914307,22906118718
2021-03-03,13,3,4,39.759621,893222244,50538.242188,53220811975,1575.853149,22674780680
2021-03-02,11,3,2,37.670464,782221652,48378.988281,47530897720,1492.608765,22523669722
2021-03-01,10,2,1,38.145668,864930653,49631.242188,53891300112,1564.707642,24032838645
2021-02-28,6,4,5,35.091141,964628015,45137.769531,53443887451,1416.04895,27637026080
2021-02-27,6,2,3,37.336731,768071378,46188.453125,45910946382,1459.973145,20742103233
2021-02-26,7,2,1,37.641758,1158416312,46339.761719,350967941479,1446.033691,31435997881
2021-02-25,13,6,8,38.318775,1064640476,47093.851563,54506565949,1475.703735,24481681873
2021-02-24,17,3,4,40.701122,1500823174,49705.332031,63695521388,1626.575684,31329000537
2021-02-23,7,10,7,38.519299,2054924678,48824.425781,106102492824,1570.203979,52029864713
2021-02-22,17,13,6,47.041515,2205914900,54207.320313,92052420332,1781.99292,42409646036
2021-02-21,66,42,19,54.607117,2734374270,57539.945313,51897585191,1935.601074,23626547717
2021-02-20,11,13,5,44.057323,1389656551,56099.519531,68145460026,1919.534058,34696091102
2021-02-19,29,19,10,47.896557,1698129766,55888.132813,63495496918,1960.164795,26268814253
2021-02-18,16,7,2,43.989735,1081106080,51679.796875,52054723579,1937.449219,28255902969
2021-02-17,8,3,2,42.515461,1668883398,52149.007813,80820545404,1848.458252,35955412703
2021-02-16,12,4,6,40.957405,1955672376,49199.871094,77049582886,1781.067505,34269369268
2021-02-15,17,7,6,41.495602,2556989308,47945.058594,77069903166,1779.791016,38955610883
2021-02-14,44,28,12,44.451595,2703631532,48717.289063,71248675228,1805.084106,31439114900
2021-02-13,30,24,16,42.313725,2480436245,47105.515625,70250456155,1814.109863,35359490535
2021-02-12,21,7,5,37.769962,1622172448,47504.851563,76555041196,1843.532593,37905036865
2021-02-11,21,14,6,36.389034,2254113590,47909.332031,81388911810,1783.797974,36021495262
2021-02-10,43,12,7,33.553566,2635786138,44918.183594,87301089896,1744.243408,41916084617
2021-02-09,50,29,15,30.997744,1991125482,46481.105469,91809846886,1768.035034,44180727529
2021-02-08,6,5,2,27.311245,1196269971,46196.464844,101467222687,1746.616821,48012285956
2021-02-07,9,3,4,24.536674,873846113,38903.441406,65500641143,1614.227783,39889440151
2021-02-06,11,11,1,24.85363,907170715,39266.011719,71326033653,1677.846802,39873420648
2021-02-05,14,9,5,26.143332,945035473,38144.308594,58598066402,1718.650879,40108628454
2021-02-04,15,6,5,23.735632,770045905,36926.066406,68838074392,1594.762695,44396871836
2021-02-03,28,6,4,24.711908,748535993,37472.089844,61166818159,1660.909546,41874566399
2021-02-02,8,3,2,23.732979,652275726,35510.289063,63088585433,1515.193726,45437142801
